Result Date,Numbers,Bonus Number,Prize,Rollover
2014-May-23 Friday,"['3', '11', '16', '24', '31', '39', '43']",2,"18,000,000",True
2014-May-16 Friday,"['12', '13', '16', '30', '32', '35', '37']",7,"13,000,000",True
2014-May-09 Friday,"['5', '7', '29', '35', '39', '41', '49']",14,"50,000,000",True
2014-May-02 Friday,"['6', '15', '18', '19', '25', '44', '46']",28,"50,000,000",True
2014-Apr-25 Friday,"['3', '9', '24', '25', '28', '36', '40']",48,"31,711,872.50",True
2014-Apr-18 Friday,"['9', '16', '24', '30', '39', '40', '45']",14,"23,433,239.20",True
2014-Apr-11 Friday,"['1', '3', '14', '33', '35', '39', '45']",28,"15,549,201",True
2014-Apr-04 Friday,"['19', '30', '33', '34', '36', '41', '48']",11,"10,000,000",True
2014-Mar-28 Friday,"['8', '15', '16', '21', '31', '37', '39']",20,"48,000,000",False
2014-Mar-21 Friday,"['1', '2', '4', '21', '23', '35', '40']",5,"43,000,000",True
2014-Mar-14 Friday,"['3', '4', '5', '7', '31', '33', '40']",49,"50,000,000",False
2014-Mar-07 Friday,"['1', '6', '7', '16', '22', '31', '33']",25,"50,000,000",True
2014-Feb-28 Friday,"['4', '7', '20', '22', '26', '28', '29']",47,"50,000,000",True
2014-Feb-21 Friday,"['1', '10', '16', '23', '29', '35', '39']",46,"50,000,000",True
2014-Feb-14 Friday,"['6', '8', '11', '16', '17', '19', '24']",29,"50,000,000",True
2014-Feb-07 Friday,"['13', '19', '37', '38', '40', '43', '48']",46,"40,000,000",True
2014-Jan-31 Friday,"['6', '10', '16', '27', '38', '40', '45']",39,"30,000,000",True
2014-Jan-24 Friday,"['7', '10', '15', '23', '30', '36', '44']",45,"20,000,000",True
2014-Jan-17 Friday,"['4', '9', '18', '32', '35', '38', '40']",12,"50,000,000",False
2014-Jan-10 Friday,"['12', '28', '31', '38', '40', '41', '45']",15,"50,000,000",True
2014-Jan-03 Friday,"['7', '16', '31', '35', '39', '44', '48']",42,"46,000,000",True
2015-Dec-25 Friday,"['5', '8', '9', '12', '22', '39', '45']",38,"60,000,000",False
2015-Dec-18 Friday,"['6', '20', '28', '29', '30', '31', '46']",45,"60,000,000",True
2015-Dec-11 Friday,"['7', '12', '28', '34', '45', '46', '48']",49,"55,000,000",True
2015-Dec-04 Friday,"['8', '15', '24', '25', '27', '36', '43']",32,"50,000,000",True
2015-Nov-27 Friday,"['4', '8', '9', '20', '23', '45', '46']",31,"43,112,552.60",True
2015-Nov-20 Friday,"['12', '21', '28', '34', '36', '45', '48']",26,"32,930,389.20",True
2015-Nov-13 Friday,"['7', '11', '19', '38', '40', '41', '42']",49,"23,000,000",True
2015-Nov-06 Friday,"['1', '10', '12', '20', '29', '35', '47']",4,"60,000,000",False
2015-Oct-30 Friday,"['2', '11', '19', '38', '43', '45', '49']",9,"55,000,000",True
2015-Oct-23 Friday,"['2', '7', '12', '28', '29', '38', '48']",27,"50,000,000",True
2015-Oct-16 Friday,"['9', '14', '19', '21', '31', '32', '40']",16,"42,954,379.70",True
2015-Oct-09 Friday,"['8', '11', '14', '23', '26', '42', '47']",1,"31,950,379.40",True
2015-Oct-02 Friday,"['10', '12', '24', '26', '34', '43', '47']",38,"22,195,302.20",True
2015-Sep-25 Friday,"['1', '7', '15', '18', '21', '30', '45']",22,"60,000,000",False
2015-Sep-18 Friday,"['13', '16', '17', '21', '35', '40', '46']",18,"55,000,000",True
2015-Sep-11 Friday,"['21', '22', '27', '30', '39', '42', '44']",8,"50,000,000",True
2015-Sep-04 Friday,"['7', '8', '15', '19', '36', '37', '41']",43,"36,272,415.10",True
2015-Aug-28 Friday,"['2', '4', '5', '17', '29', '39', '41']",48,"26,967,068.70",True
2015-Aug-21 Friday,"['3', '13', '15', '22', '33', '41', '49']",11,"18,198,623.10",True
